EntrezGeneSymbol1	EntrezGeneSymbol2	score
RARRES2	THBS4	0.0816
EEF1B2	CD86	0.0816
IL10	MED1	0.0816
Human-virus	CDH6	0.0815
PRDX1	CA1	0.0815
LGALS4	DLL1	0.0815
PLA2G2A	KLK13	0.0815
MAPKAPK5	GPI	0.0815
LILRB1	CD86	-0.0815
SST	TGFB2	0.0814
LRPAP1	ALB	0.0814
TNFRSF13B	IL24	-0.0814
CTSV	AGER	0.0814
KYNU	PLXNC1	0.0814
TPM2	C1QBP	0.0813
WIF1	F3	0.0813
BMP7	CA3	0.0813
CD80	TG	-0.0813
PPY	SSRP1	0.0813
AZU1	CD22	0.0813
TKT	TPI1	0.0813
CXCL6	TGM3	-0.0813
LRPAP1	SPHK2	0.0813
RGMA	ENPP7	0.0813
CHIT1	EIF4EBP2	0.0812
CKB CKM	HIBADH	0.0812
CNTN2	IGHD  IGK@ IGL@	0.0812
CDKN1B	IL25	0.0811
AKR1A1	PEBP1	0.0811
TNFRSF18	PIM1	0.0811
LEP	IGFBP1	-0.0811
EFNA4	ACE2	0.0811
IL13RA1	MAPK9	-0.0811
CX3CL1	FCN2	0.0811
PON1	KLK3	0.0811
POSTN	DKK3	0.0810
TNFRSF11B	PAK3	0.0810
IL10	GDF9	0.0810
AURKA	FGFR4	0.0810
MAPK1	KIF23	0.0810
MMP10	PRSS22	0.0810
PGK1	SCARB2	0.0810
SELE	KDR	0.0810
PRSS3	PSMA2	0.0810
PCSK7	SPHK2	0.0809
NANOG	LTA LTB	0.0809
SPARCL1	SERPING1	0.0809
AURKB	ADAM12	0.0809
MSLN	PARK7	0.0809
NCR2	PRKACA	0.0809
DDX19B	CMPK1	0.0809
TNF	AMN	0.0809
FRZB	FCER2	0.0809
LAYN	MMP12	0.0809
SERPINA3	OMD	0.0809
DKKL1	F2	0.0808
IGFBP6	COL23A1	0.0808
PON1	TPM2	0.0808
PGF	LGALS3BP	0.0808
NAGK	IL5RA	0.0808
CFD	COL8A1	0.0808
TGFBR3	RGMB	0.0808
DYNLL1	NRXN1	0.0808
PTH	PDE2A	0.0807
Human-virus	DMP1	0.0807
LRPAP1	C4A C4B	0.0807
GFRA3	CXCL11	0.0807
C5	MICA	0.0807
CFI	C9	0.0807
C8A C8B C8G	AURKB	0.0807
PECAM1	PLA2G10	0.0807
GRAP2	HNRNPA2B1	0.0807
IL10	PRSS1	0.0807
CFC1	C3	0.0806
APOB	C7	-0.0806
PCNA	MFRP	0.0806
OLR1	PPA1	0.0806
LRPAP1	SIRT2	0.0806
DSC3	SCARF2	0.0806
AURKA	HNRNPK	0.0806
NCR3	RASA1	0.0806
ESAM	SELP	0.0806
BCAM	PSME3	0.0805
IL13	FABP3	0.0805
HAPLN1	DYNLL1	0.0805
ADCYAP1	CALR	0.0805
CD80	DDC	0.0805
TSLP	SCARF1	0.0805
FAM107B	BRF1	0.0805
PROC	SERPINF2	0.0805
CLEC4M	AMH	0.0805
CRLF1 CLCF1	LIN7B	0.0804
DDR2	SCARF1	0.0804
ADAMTS4	TGM3	0.0804
GAS1	RBM39	0.0804
DAPK2	BCAR3	0.0804
OPCML	KLK14	0.0804
GDF11	TNFRSF1B	0.0804
SEMA3A	DLL4	0.0804
PLA2G10	TNFRSF11A	-0.0804
IL4	CAMKK1	0.0803
ACY1	MAPKAPK5	0.0803
DCN	NID1	0.0803
GOT1	ESD	0.0803
CXCL1	MMP1	0.0802
HIST1H1C	CHST15	0.0802
KLK12	ADAM9	0.0802
DCTPP1	LILRB2	0.0802
CD97	RASA1	0.0802
CCNB1	SPOCK2	0.0801
GZMA	DDC	0.0801
COL23A1	TXNDC12	0.0801
HCK	CGA CGB	0.0801
IL10	CXCL5	0.0801
IL4R	SSRP1	0.0801
IDUA	A2M	0.0801
RARRES2	C4A C4B	0.0801
EPS15L1	HSD17B10	0.0800
CDK5 CDK5R1	MFGE8	0.0800
CAMKK1	NTF4	0.0800
IL4	PCNA	0.0800
SOD1	CA2	0.0800
LYN	SRC	0.0799
IL17F	DLL1	-0.0799
FGF5	C5 C6	0.0799
CDKN1B	C5 C6	0.0799
ACP5	GDF2	0.0799
TMPRSS15	TLR4 LY96	0.0799
MMP7	PRSS22	0.0798
PLA2G5	PRDX1	0.0798
CXCL5	TNFRSF6B	0.0798
CDK8 CCNC	OCIAD1	0.0798
POR	CXCL13	0.0798
TNFRSF8	GPC2	0.0798
TNFSF18	Human-virus	0.0797
ESR1	THBS2	0.0797
CYCS	HBEGF	0.0797
IL17F	SERPINA6	0.0797
AGER	IMPDH1	-0.0797
HINT1	SIGLEC1	0.0797
PLA2G5	NGF	0.0796
CDH2	PTEN	0.0796
VWF	FN1	0.0796
FGA FGB FGG	SERPINA3	0.0796
IGFBP6	ASGR1	0.0796
PGLYRP1	CHL1	0.0796
TNFSF12	EFNB3	0.0796
OPCML	DKKL1	0.0796
CADM3	MMP16	0.0796
FGF6	PES1	0.0795
CCL18	NOTCH2	0.0795
CXCL16	LY9	-0.0795
NBL1	RETN	0.0795
SPINT1	CD40LG	0.0794
CTSB	GZMB	0.0793
ROR1	CRISP3	0.0793
RBM39	PRKCG	0.0793
H2AFZ	GPC5	0.0793
MAPKAPK3	MIF	0.0793
IL4	ADSL	0.0792
PLA2G2E	PDE9A	0.0792
TNFRSF17	GZMA	0.0792
INHBA	WIF1	0.0792
PDCD1LG2	KRT18	0.0792
ECM1	MAP2K2	0.0792
FAM107A	FABP5	0.0792
EFNB3	PPA1	0.0792
AGRP	IL5	0.0792
MMP7	PRSS1	0.0792
FGFR3	FAM107B	0.0791
NSFL1C	GREM1	0.0791
ESR1	CASP2	-0.0791
PDGFRB	PRKAA2 PRKAB2 PRKAG1	0.0791
GFRA1	ADAM12	0.0791
ICAM3	JAM3	0.0791
MSR1	CSNK2A1 CSNK2B	0.0791
MIA	TYMS	0.0791
PI3	PDK1	0.0791
PRKCZ	ELANE	0.0791
NTF3	DAPK2	0.0791
MMP8	IL12RB2	0.0791
IL11RA	MAPK8	0.0790
PRKCD	HINT1	-0.0790
LTF	SELL	0.0790
PLA2G5	GDF11	0.0790
CDH6	GRAP2	0.0790
PRSS27	STK17B	0.0790
CTLA4	PDE4D	0.0790
CCL5	PDGFA	0.0790
ARTN	PSME3	-0.0790
KLK6	SCARB2	0.0790
SERPINF2	SERPINC1	0.0790
MIA	CST2	0.0789
KLK5	MATK	0.0789
HBA1 HBB	TNNI3	0.0789
DIABLO	C6	0.0789
VEGFC	SST	0.0789
Human-virus	TGM3	0.0789
AZU1	EPHA1	-0.0789
ULBP3	LMNB1	0.0789
MBL2	KLK13	0.0789
ITGA1 ITGB1	AKR1A1	0.0788
PYY	IL11	0.0788
GFRA3	RASA1	0.0788
PIGR	LIFR	0.0788
FGF7	CGA CGB	0.0788
ECM1	POSTN	0.0787
GNLY	CCL16	0.0787
NAMPT	ELANE	0.0787
PDCD1LG2	CA10	0.0787
IL1RL1	SAA1	0.0787
MIA	PTGS2	0.0787
SFRP1	CXCL10	0.0787
CHRDL1	DKK4	0.0787
POSTN	OMD	0.0787
PPBP	LDHB	0.0787
EIF4EBP2	RASA1	0.0787
PRKAA1 PRKAB1  PRKAG1	ELANE	0.0787
EEF1B2	DDR1	0.0786
LGALS4	ASGR1	0.0786
NSFL1C	CASP10	0.0786
CNTF	IL34	0.0785
MFRP	ARID3A	0.0785
PTGS2	HINT1	0.0785
FGF4	RPSA	0.0785
TNFRSF1A	CSF3	0.0785
WISP1	DKKL1	0.0785
DSG2	RTN4	0.0784
METAP1	XPNPEP1	-0.0784
SPINT1	ANXA2	-0.0784
NTRK2	SNRPF	0.0784
CTSG	CMA1	0.0784
TNFRSF12A	CST1	-0.0784
ULBP1	CD300C	-0.0784
POSTN	GPNMB	0.0783
FGF16	BCAR3	0.0783
VEGFA	IGHE IGK@ IGL@	0.0783
C4A C4B	SERPING1	-0.0783
IGFBP4	TNFRSF18	0.0783
KDR	PDE9A	0.0783
COMMD7	MIF	0.0782
CST6	OMD	-0.0782
A2M	SHBG	0.0782
METAP1	AIP	0.0782
NOV	ARG1	0.0782
GDF9	ASAH2	0.0782
CGA FSHB	SMPDL3A	-0.0782
CAST	SCARB2	0.0782
HSD17B10	IL17RC	0.0782
ERBB2	AIMP1	0.0782
DPP7	SPON1	0.0782
RGMA	RTN4R	0.0781
KLRK1	LGALS8	0.0781
MST1R	LTA4H	0.0781
ARG1	MSN	0.0781
MB	RGMB	0.0781
C3	CD200R1	0.0781
IL10	PSME1	0.0781
C4A C4B	ITGA2B ITGB3	-0.0780
AHSG	HRG	0.0780
GSTA3	PGK1	0.0780
IL37	SERPINE1	0.0780
LEP	THBS2	-0.0780
CKM	MDH1	0.0780
NTF3	CGA CGB	0.0780
AURKA	IL11RA	0.0780
CST6	EPHB6	0.0779
MAPK1	ESM1	0.0779
MATK	MIF	0.0779
BCL2L1	LRRTM1	0.0779
KLRF1	NOTCH3	0.0779
CLEC4M	FN1	-0.0779
ADAMTS5	COL23A1	0.0779
Human-virus	ADAMTS4	0.0778
BMX	BMPER	0.0778
UFM1	SLAMF6	0.0778
IL2	RPSA	0.0778
TMPRSS15	BGN	-0.0777
SERPINF2	NRP1	0.0777
CTSG	AIMP1	0.0777
SPINT1	PDE4D	0.0777
HSPD1	PPIF	0.0777
MAPKAPK2	PGK1	0.0777
SERPINE2	HCK	0.0777
GHR	AGT	0.0777
ROR1	CADM3	0.0776
CCL1	STK16	0.0776
IL17F	TPM1	0.0776
POMC	CKM	0.0776
FLT4	FGFR1	0.0776
CDH3	FN1	0.0776
ERBB4	Human-virus	0.0775
POMC	BRF1	0.0775
ARG1	CTF1	0.0775
TNFRSF9	LRPAP1	0.0775
IL11	ADCYAP1	0.0774
FGF8	SCT	0.0774
CNDP2	PSMA2	0.0774
CCL1	PTEN	0.0774
DDR2	MST1	-0.0774
EIF4G2	PDPK1	0.0773
IL12RB1	EPOR	0.0773
CLU	PLA2G1B	0.0773
MIA	PIGR	-0.0773
ARTN	IBSP	0.0773
MEPE	CDKN1B	0.0773
CCL2	IL2	0.0773
MSN	PRLR	0.0773
LTBR	HDAC8	0.0773
DKK4	PTPN2	0.0773
C8A C8B C8G	ANP32B	0.0772
TNFRSF17	MIA	0.0772
PIK3CA PIK3R1	HS6ST1	0.0772
PRKCD	FTH1 FTL	0.0772
COLEC12	CCL16	-0.0771
NCR3	ADAMTS5	0.0771
OCIAD1	DAPK2	0.0771
HGFAC	ADCYAP1	-0.0771
AZU1	PTK2	0.0770
CD109	ENG	0.0770
PIK3CA PIK3R1	PRSS27	0.0770
ICAM3	CNTF	-0.0770
LIN7B	BOC	0.0770
PLA2G7	CD27	0.0770
GFRA1	PRDX1	0.0770
MMP8	TNFRSF13C	0.0770
SERPING1	IL5RA	-0.0770
IL13RA1	CLEC7A	-0.0770
TNFSF18	SFN	0.0769
AIMP1	CALR	0.0769
TNFRSF8	CA4	0.0769
ULBP1	DMP1	0.0769
TMPRSS15	LTA	0.0769
FCN3	IL1A	-0.0768
LGALS2	MPL	0.0768
BMPR1A	SCARF2	0.0768
PLAUR	PLA2G7	0.0768
PLCG1	ADCYAP1	0.0768
IGFBP2	AFM	-0.0768
GFRA1	GCKR	0.0768
C6	CFB	0.0768
MSR1	TYMS	0.0768
DMP1	FGR	0.0767
OLR1	MSLN	0.0767
IL37	AGR2	0.0767
ERBB3	EDA	0.0767
HSD17B1	CALR	0.0767
CADM1	POMC	0.0767
PIGR	ICAM5	0.0767
PLA2G2A	IDE	0.0767
FTH1 FTL	NOTCH2	0.0767
IL37	RETN	0.0767
GPC2	COL23A1	0.0767
EPHB2	TNFRSF21	0.0767
REN	PDK1	0.0767
PRSS1	GDF9	0.0767
CA7	NSFL1C	0.0767
CAMKK1	PDK1	0.0766
POR	HTRA2	0.0766
FGF1	NACA	0.0766
TYRO3	CCL15	0.0766
IGFBP7	THBS2	0.0766
LAYN	HAVCR2	0.0766
FGF9	AKT1 AKT2 AKT3	0.0766
FLT4	CD36	0.0765
GNLY	CXCL12	0.0765
TMPRSS15	BMPR2	0.0765
HAMP	IL1A	0.0765
CA4	LMNB1	0.0765
C5	DSG1	0.0765
BMX	BCAR3	0.0765
ADAM12	BMPR2	0.0765
NCR2	CCL8	0.0765
FASLG	CRK	0.0765
ARTN	KLK6	0.0765
SERPINA4	CRP	-0.0765
NOV	FGF5	0.0765
IL25	PSMA2	0.0765
DKK3	CLEC11A	0.0765
GHR	RET	0.0765
GHR	INSR	0.0765
PROC	F9	0.0765
FGF6	KIF23	0.0764
IGFBP7	AMN	0.0764
DYNLRB1	AFM	-0.0764
C3	SIRT2	0.0764
REN	AGT	-0.0764
IL2RA	STAB2	0.0764
SERPINA3	TNC	0.0764
MSR1	PRDX5	0.0763
HIST1H1C	TGFB3	0.0763
PAK3	FCN3	-0.0763
VEGFA	GNS	0.0763
PRKCI	HINT1	0.0763
TIMP2	THBS4	0.0763
GRN	PRSS2	0.0763
BMPER	MMP16	0.0762
COLEC11	LEPR	0.0762
MMP9	PRTN3	0.0762
CST7	NCK1	0.0762
CRLF1 CLCF1	CDH5	0.0762
CCL19	SLAMF7	0.0761
ALB	SET	0.0761
SAA1	TNFRSF11A	0.0761
C1S	OCIAD1	0.0761
TIMP1	IGHG1 IGHG2 IGHG3 IGHG4 IGK@ IGL@	0.0761
AGR2	PRDX5	0.0761
H2AFZ	LCORL	0.0761
CAT	H2AFZ	0.0761
BCAM	CRTAM	0.0761
HNRNPAB	LGALS3BP	0.0761
NRCAM	IL27RA	0.0761
PTEN	C3	0.0761
ESR1	CAMK2A	0.0761
EPHA3	HSD17B10	0.0760
CGA TSHB	MMP1	0.0760
CDH6	OCIAD1	0.0760
CAMK1D	HINT1	0.0760
CD5L	COLEC12	0.0760
PROC	EEF1B2	0.0760
PF4	PDGFB	0.0760
FUT3	TYMS	0.0760
ICAM3	LMNB1	0.0760
CA7	CASP10	0.0760
MMP7	KYNU	0.0760
FGF2	PRKAA2 PRKAB2 PRKAG1	0.0759
FGF1	TG	0.0759
CA10	EPHA1	0.0759
EPOR	CGA LHB	-0.0759
FLT3LG	TNFRSF6B	0.0759
KLK12	NPPA	0.0759
GFRA2	TGFBI	0.0759
TNFRSF17	LY9	0.0759
F2	SPOCK1	0.0759
DKK3	DCTPP1	0.0759
TIMP3	SERPINE1	0.0758
TIE1	NOTCH1	0.0758
SERPINA3	C9	0.0758
WFIKKN2	COTL1	0.0758
CTSV	LPO	0.0758
FST	LIFR	0.0758
KLK7	SLPI	0.0758
TNFSF8	CHIT1	0.0758
KLK11	ICAM2	0.0758
KLRK1	PI3	0.0757
EPO	IL7	0.0757
SLITRK5	ROBO2	0.0757
COL18A1	COMMD7	-0.0757
FCER2	IL5RA	-0.0757
LRPAP1	SEMA6A	0.0757
CST7	FAP	0.0757
PROC	PIM1	0.0757
C7	C5 C6	-0.0757
PAPPA	CST2	0.0757
PPY	F3	0.0757
GFRA3	EIF4EBP2	0.0757
HCK	DDR1	0.0756
ACVR1B	ACVRL1	0.0756
PRKACA	POMC	0.0756
HMGCR	SEMA3E	-0.0756
MBL2	COLEC11	-0.0756
IL17D	H2AFZ	0.0756
CNTF	CSNK2A2 CSNK2B	0.0756
DCTN2	GRN	-0.0756
IL4	CD163	0.0756
FCRL3	ADAMTS15	0.0755
VEGFA	EREG	0.0755
CYP3A4	DUSP3	0.0755
CFI	PARK7	-0.0755
ADAMTS5	BMPR2	0.0755
CXCL13	SPON1	-0.0755
IL20RA	SLC25A18	0.0755
UNC5C	TNFRSF21	0.0755
TNFSF12	CTSC	0.0755
CCL3	PRSS27	0.0755
MMP7	NGF	0.0754
PLA2G2A	GRN	-0.0754
IGFBP5	CD22	0.0754
NCR2	ELANE	0.0754
ETHE1	SLC25A18	0.0754
REN	STC1	0.0754
NTRK2	SPOCK2	0.0754
PTK6	PDK1	0.0753
PTN	UNC5C	0.0753
CCDC80	MATN2	0.0753
LAMA1 LAMB1  LAMC1	KLK13	0.0753
CGA LHB	NCR1	0.0753
IGFBP2	LEP	-0.0752
POMC	FGFR3	0.0752
MST1R	PES1	0.0752
FGFR1	HBA1 HBB	0.0752
MST1R	AURKB	0.0752
TNFSF13B	CDH2	0.0752
PTN	OLR1	0.0752
PRKCI	AMN	0.0752
IL11RA	HNRNPK	0.0752
PRTN3	PROC	0.0752
TNFSF15	DDR1	0.0751
KLK4	RETN	0.0751
OLR1	EIF4EBP2	0.0751
ADAMTS1	RBM39	0.0751
BDNF	BMP10	0.0751
IL12A IL12B	CD48	0.0751
FGF10	ALB	0.0751
LTA	NAMPT	0.0751
MRC2	MMP2	0.0751
CALR	PRKCG	0.0751
ANGPT4	C3	0.0751
IGFBP4	TFF3	0.0751
CSF3R	DYNLL1	-0.0751
BMP10	ANGPTL4	0.0750
RETN	LYZ	0.0750
CCNB1	TNNI3	0.0750
CD80	REN	0.0750
EPO	ADAMTS15	0.0750
TMPRSS15	CD207	0.0750
PIK3CA PIK3R1	FCN3	-0.0750
MAPK13	PRKAA1 PRKAB1  PRKAG1	0.0750
C7	ATP5B	-0.0749
NME1	PES1	0.0749
PDGFC	NPPA	0.0749
CXCL11	SCT	0.0749
HMOX2	PTPN2	0.0749
SERPINF2	PCSK9	0.0749
SIGLEC9	TNFSF8	0.0749
CAST	CA10	0.0749
PROC	KRAS	0.0749
PROS1	PROC	0.0749
GFAP	ADCYAP1	0.0749
DCTN2	CGA CGB	0.0748
IL12RB2	NGF	0.0748
IL16	C4A C4B	-0.0748
TNFRSF10A	F3	0.0748
PTEN	AGR2	0.0748
CCL28	CST2	0.0748
FGF19	SFRP1	0.0748
CYP3A4	XPNPEP1	0.0748
CD5L	LAG3	0.0748
WIF1	TBP	0.0748
EDA	IGHE IGK@ IGL@	0.0748
STC1	FABP5	0.0748
CCL25	BCAM	0.0747
FCGR3B	GZMA	0.0747
CSF1R	THBS4	0.0747
NME1	KIF23	0.0747
MAPKAPK3	PIM1	0.0747
CAPG	ELANE	0.0747
VEGFA	CDH6	0.0747
IL10RB	CX3CL1	-0.0747
C1QA C1QB  C1QC	GOT1	0.0747
TNFSF15	STK16	0.0747
AZU1	ADAM12	0.0747
RAD51	FETUB	-0.0747
CCL3	CGA TSHB	0.0747
PRL	IL27 EBI3	0.0747
FGR	IL11RA	0.0747
MBD4	CASP10	0.0747
CCL27	CAMKK1	0.0746
RETN	PTEN	0.0746
MICA	CCL24	0.0746
CASP3	LCORL	0.0746
PRTN3	LILRB2	0.0746
HAT1	NCR3	0.0746
MAPKAPK2	CD274	0.0746
C3	NCK1	0.0745
Human-virus	CCL3	0.0745
PRKCI	STAB2	0.0745
CXCL13	EREG	0.0745
HMGCR	TNFSF14	-0.0745
C5	C6	0.0745
VWF	TNFRSF11A	0.0745
CXCL16	ACP5	0.0745
PDXP	MAPK11	0.0745
CAST	DCTN2	-0.0745
ADAMTS13	IL17RC	-0.0745
POMC	AMH	0.0745
STC1	GRN	0.0745
C6	SCARF2	0.0745
TIMP2	NOTCH3	0.0745
DDX19B	FUT5	0.0744
FGF10	ADAMTS4	0.0744
PSPN	PTPN2	0.0744
Human-virus	CCL3L1	0.0744
GFRA2	ACP5	0.0744
FGF20	ADAMTS1	0.0744
SPINT1	KLK8	0.0744
CNTFR	ADIPOQ	0.0744
CHIT1	CA2	0.0743
TNFSF12	C2	-0.0743
TBP	GHR	0.0743
ECE1	CCL11	0.0743
NR3C1	MED1	0.0743
CCL15	KIR3DS1	0.0743
IBSP	MED1	0.0743
MMP13	HNRNPK	0.0743
MRC1	PROC	0.0743
REN	ADAMTS15	0.0743
RGMB	HFE2	0.0743
CSF3R	PRDX1	0.0743
PGLYRP1	ARID3A	0.0743
HMOX2	AMN	0.0742
TNFSF18	IL11RA	-0.0742
CTSB	HSPA1A	0.0742
CCL21	PARK7	0.0742
KLRK1	IL22RA1	0.0742
CDC42BPB	CADM3	0.0742
VWF	SELE	-0.0741
IL25	LCMT1	0.0741
EREG	TNFRSF6B	0.0741
CDK5 CDK5R1	FGF17	0.0741
LSAMP	GFAP	-0.0741
BMX	ADSL	0.0741
ICAM2	INS	0.0741
KLK8	L1CAM	0.0741
IL2RG	SIGLEC7	0.0740
PAK3	NLGN4X	0.0740
REN	PDGFRB	0.0740
PRL	STX1A	0.0740
NCK1	CALR	0.0740
LTA LTB	F3	0.0740
FAM107A	SIGLEC14	-0.0740
GP1BA	PPA1	0.0740
FASLG	CMA1	0.0740
ASGR1	SNRPF	0.0740
FGF9	LRPAP1	0.0740
IL18RAP	SST	0.0739
MIA	KIF23	0.0739
TIMP3	PF4	0.0739
C2	HAPLN1	-0.0739
DDR2	BIRC7	0.0739
FER	PDPK1	0.0739
CDH2	CD274	0.0739
DKK1	ANXA6	0.0738
TIMP1	TIMP2	0.0738
PROK1	IL12A IL12B	0.0738
HIST1H1C	ANXA1	0.0738
HNRNPK	CD226	0.0738
CTF1	IL12B IL23A	0.0738
PAFAH1B2	PON1	0.0738
ERBB4	DIABLO	0.0738
PDE4D	LEPR	-0.0738
SERPINE1	PFDN5	0.0738
TNFSF8	NR1D1	0.0737
CADM1	RASA1	0.0737
C5 C6	PCSK9	0.0737
F11	IGHE IGK@ IGL@	-0.0737
HMOX2	KYNU	0.0737
CA9	IFNL1	0.0737
CCL7	CCL11	0.0737
GFAP	CNTN4	0.0737
TGFBI	COLEC11	0.0736
CYCS	TXNDC12	0.0736
OCIAD1	ATP5B	0.0736
SPINT1	CAMK1D	0.0736
TNFRSF13C	CD27	0.0736
ULBP2	GNLY	0.0736
EPHA3	CSF3	0.0736
BCL2	MBD4	0.0736
IL37	FGFR4	0.0736
TNFRSF9	TGM3	0.0735
IL15RA	CCL19	0.0735
PIK3CA PIK3R1	CDH2	0.0735
CD80	STX1A	0.0735
VIP	FYN	0.0735
EREG	NCK1	0.0735
PTH	EREG	0.0735
CD97	HS6ST1	0.0735
CLU	SET	0.0735
DMP1	PDE3A	0.0735
OPCML	PPP3R1	0.0735
TIMP1	LTA LTB	0.0734
TGFBR3	NTF3	-0.0734
EIF5	PRDX1	0.0734
ERBB4	NRCAM	0.0734
CA6	ICOSLG	0.0734
PROK1	FGF1	0.0734
CD209	CD40LG	0.0734
AIMP1	APOB	-0.0734
MPO	BST1	0.0734
GSTA3	SCARF1	0.0734
ULBP1	STK16	0.0734
CST7	GPNMB	0.0734
SEZ6L2	DCTN2	0.0734
GNLY	LCK	0.0733
FETUB	KNG1	0.0733
IGHM IGJ IGK@ IGL@	ERP29	-0.0733
CLEC11A	UBE2L3	0.0733
SORCS2	TNFRSF14	0.0733
POR	GPI	0.0733
FGF18	PARK7	0.0733
LMNB1	SKP1	0.0733
P4HB	NLGN4X	0.0733
MICA	C1QA C1QB  C1QC	-0.0733
IL24	CDC37	0.0732
OSM	CHST2	0.0732
GZMB	PRKCG	0.0732
KREMEN2	CKB	-0.0732
IGFBP1	GRN	0.0732
C2	IL7R	-0.0732
RPS27A	CD274	0.0732
TIMP1	RPS27A	0.0732
EMR2	KIRREL3	0.0732
ANGPT2	SPARCL1	0.0731
DNAJB1	CCL13	0.0731
FGFR4	NCR1	0.0731
LSAMP	TNFRSF21	0.0731
MBL2	KLKB1	-0.0731
TNFRSF8	TPM2	0.0731
PROC	SNRPF	0.0731
HAPLN1	COLEC12	0.0731
TNFRSF1B	DYNLL1	0.0731
SOD1	CASP10	0.0731
CADM3	OCIAD1	0.0731
TGM3	FUT3	0.0731
MEPE	MMP13	0.0731
FGA FGB FGG	LYZ	0.0731
SIGLEC9	CD40LG	0.0731
GFRA2	LYVE1	0.0730
BMP6	DNAJC19	0.0730
ACY1	PEBP1	0.0730
ANGPT1	PDGFA	0.0730
CXCL1	MAP3K7 TAB1	0.0730
FAM107B	SLAMF6	0.0730
LSAMP	ROBO2	0.0730
TBK1	EPHA1	0.0730
NR1D1	BRF1	0.0730
FN1	ALB	0.0730
IBSP	IL17A	0.0730
C3	RPS3	-0.0730
STAB2	H2AFZ	0.0730
CSF3R	DSG1	0.0730
DIABLO	PLA2G1B	0.0730
CGA CGB	CD300C	0.0730
MMP8	BST1	-0.0730
GFRA3	VIP	0.0729
SIGLEC9	CTSE	0.0729
IFNA2	FABP5	0.0729
CCL21	HPX	-0.0729
SERPINA7	FETUB	0.0729
PTH	VEGFA	0.0729
SPHK2	CSNK2A2 CSNK2B	0.0729
ADAM9	STC1	0.0729
HMOX2	GPC5	0.0729
ADAMTS5	EPHB6	0.0729
ROR1	ADAM12	0.0729
RPS27A	LEPR	-0.0729
IL25	CST1	-0.0729
TNFRSF17	AMHR2	0.0728
MAPK13	KIR3DL2	0.0728
MSLN	IL20RA	0.0728
F2	APOD	0.0728
IL13RA1	SFN	0.0728
LY86	SPOCK1	0.0728
CD209	CNTN4	0.0728
TNFSF8	EREG	0.0728
PRKACA	RASA1	0.0728
CBX5	GSTP1	0.0728
PGLYRP1	CCL22	0.0727
KLK8	SST	0.0727
CTSS	GZMA	0.0727
IGFBP3	CD80	0.0727
CDH5	CD209	0.0727
ANGPT4	BOC	0.0727
OCIAD1	IL3RA	0.0727
CHEK2	RBM39	0.0727
CNTN1	NRP1	0.0727
IL1RL2	FCN3	0.0727
CXCL6	MMP1	-0.0727
PRKCZ	CRLF2	0.0726
TFF3	CD200	0.0726
SPINT1	FOLH1	0.0726
CCL3	IL6	0.0726
CHST2	SPARCL1	0.0726
CST4	MAPK9	0.0726
ANGPT1	THBS1	0.0726
AURKA	MSN	0.0726
FABP3	ABL2	0.0726
HGF	TXNDC12	0.0726
IL6	UNC5C	-0.0726
MMP2	OMD	0.0725
CST5	RPSA	0.0725
VCAM1	IL18BP	0.0725
METAP1	FER	0.0725
MRC2	FAP	0.0725
TNFRSF8	NTF4	0.0725
LTBR	CSF3R	-0.0725
CASP3	PTK2	0.0725
IL27 EBI3	PRKCG	0.0725
CCL3	PROC	0.0724
MAP2K1	IL1R1	0.0724
CHEK1	GPC2	0.0724
COMMD7	CCL11	0.0723
HAPLN1	CA10	0.0723
CDC42BPB	PRKAA2 PRKAB2 PRKAG1	0.0723
TMPRSS15	PYY	0.0723
ICAM3	STK16	0.0723
CTSC	LRRTM3	0.0723
FTH1 FTL	NTN4	0.0723
C8A C8B C8G	IL7	0.0723
PARK7	MAPK9	0.0723
MFRP	NR1D1	0.0723
CTSE	PRSS22	0.0723
C1QBP	DPT	-0.0722
SHH	TNFRSF6B	0.0722
CLEC4M	F2	0.0722
IL19	CD84	0.0722
UBE2I	DLL4	0.0722
SFN	PRKAA1 PRKAB1  PRKAG1	0.0722
SH2D1A	BMPR2	0.0722
PF4	PPBP	0.0722
ABL1	PRSS27	0.0722
MSN	RPS3	0.0722
RGMA	RB1	0.0722
ADAMTS1	TPO	0.0722
COL23A1	PLA2G1B	0.0721
TXNDC12	NTRK2	0.0721
TNFSF12	PLCG1	0.0721
CFI	MICB	-0.0721
MMP10	PFDN5	0.0721
PGF	GZMA	0.0721
PDCD1LG2	FGF4	0.0721
TNFRSF9	ICAM1	0.0721
CTSE	NTF3	0.0721
TNFRSF13B	TPM2	0.0721
CA6	KIR3DS1	0.0721
OLR1	SAA1	0.0721
TNFRSF8	PECAM1	0.0721
PLCG1	CRTAM	0.0721
IGFBP2	SET	-0.0720
AGRP	IL22RA2	-0.0720
LGALS4	CD48	0.0720
WISP1	APOD	0.0720
SERPINA3	AMICA1	0.0720
F3	ELANE	0.0720
BIRC3	CCL11	0.0720
TSLP	VIP	0.0720
DDR2	LRRTM3	0.0720
FGF5	IL20RA	0.0720
IL1R1	JAG1	0.0720
DSG1	GDF2	0.0719
PTN	MSN	0.0719
PRL	SFN	0.0719
CD48	BCL2L1	0.0719
FGF10	BMX	0.0719
EGFR	FN1	0.0719
TDGF1	FGF1	0.0719
LY9	ERAP1	0.0719
